id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1249394,2013-09-23 10:37:13,2013-09-23,2013-09-23 15:37:13 UTC,Central Time (US & Canada),,65504,scottking,2015-02-21 14:37:38 UTC,2015-02-25 02:17:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1249394,https://static.inaturalist.org/photos/1568454/medium.jpg?1444308452,,"","Posed
Collected at mercury vapor light September 22, 2013
Northfield, Minnesota",false,1,0,false,,"Northfield, Minnesota, United States",44.46303,-93.171089,,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1250567,2014-10-11,2014-10-11,,Eastern Time (US & Canada),,53860,berkshirenaturalist,2015-02-22 02:27:20 UTC,2018-08-04 17:36:43 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/1250567,https://static.inaturalist.org/photos/1570118/medium.JPG?1424572069,,"","",false,1,0,false,,"Roaring Brook Foot Trail, October Mountain State Forest, Berkshire County, Becket, Massachusetts, US",42.386926,-73.234177,301,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1252697,2014-07-03,2014-07-03,,Eastern Time (US & Canada),,76331,khimmler,2015-02-23 02:08:13 UTC,2015-10-27 16:42:51 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1252697,https://static.inaturalist.org/photos/1572501/medium.JPG?1424657297,,"","",false,1,0,false,,Rutgers University - Livingston Campus,40.524057,-74.434827,448,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1253769,2013-09-18 13:33:28,2013-09-18,2013-09-18 18:33:28 UTC,Central Time (US & Canada),,65504,scottking,2015-02-23 13:07:44 UTC,2015-04-17 12:01:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1253769,https://static.inaturalist.org/photos/1573789/medium.jpg?1444312665,,"","Green Cloverworm Moth - Hodges#8465
attracted to mothing light
Northfield, Minnesota",false,1,0,false,,"Northfield, Minnesota, United States",44.46303,-93.171089,,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1280406,04/24/2012,2012-04-24,,Central Time (US & Canada),,19404,cgritz,2015-03-08 05:34:00 UTC,2017-09-25 23:38:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1280406,https://static.inaturalist.org/photos/1605941/medium.JPG?1425792847,,"","",false,1,0,false,,"Maypearl, TX",32.311411,-97.014929,5811,,,false,,,Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1300454,2013-08-21 14:47:58,2013-08-21,2013-08-21 19:47:58 UTC,Central Time (US & Canada),,65504,scottking,2015-03-18 04:01:04 UTC,2015-03-18 04:13:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1300454,https://static.inaturalist.org/photos/1632126/medium.jpg?1444398596,,"","Green Cloverworm Moth – Hodges# 8465
attracted to front door light
Northfield, Minnesota",false,1,0,false,,"Northfield, Minnesota, United States",44.462983,-93.171334,,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1300492,2013-08-18 12:38:11,2013-08-18,2013-08-18 17:38:11 UTC,Central Time (US & Canada),,65504,scottking,2015-03-18 04:12:22 UTC,2015-03-18 14:16:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1300492,https://static.inaturalist.org/photos/1632173/medium.jpg?1444398826,,"","Green Cloverworm Moth - Hodges#8465
Cannon River Wilderness Area (East Unit)
Northfield, Minnesota",false,1,0,false,,"Minnesota, United States",44.382225,-93.204825,,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1302904,2013-08-14 14:16:04,2013-08-14,2013-08-14 19:16:04 UTC,Central Time (US & Canada),,65504,scottking,2015-03-19 05:04:24 UTC,2015-03-19 21:58:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1302904,https://static.inaturalist.org/photos/1635085/medium.jpg?1444399891,,"","Green Cloverworm Moth
Attracted to front door light
Northfield, Minnesota",false,1,0,false,,"Northfield, Minnesota, United States",44.46303,-93.171089,,,,false,,"",Green Cloverworm Moth,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1379384,2014-05-28 22:16:55,2014-05-28,2014-05-29 02:16:55 UTC,Eastern Time (US & Canada),,15723,reallifeecology,2015-04-09 06:25:47 UTC,2015-11-07 03:40:15 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1379384,https://static.inaturalist.org/photos/1704529/medium.JPG?1428560782,,,RNH,false,1,0,false,,RNH,35.081919,-85.587498,,,,false,,,Hypena scabra,Hypena scabra,Green Cloverworm Moth,Insecta,118513
1461929,2014-05-30 22:10:54,2014-05-30,2014-05-31 02:10:54 UTC,Eastern Time (US & Canada),,15723,reallifeecology,2015-05-07 06:36:30 UTC,2015-11-14 20:36:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1461929,https://static.inaturalist.org/photos/1812723/medium.JPG?1430980600,,"",ID verified by BAMONA,false,1,0,false,,"",35.081939,-85.587487,,,,false,,,Hypena scabra,Hypena scabra,Green Cloverworm Moth,Insecta,118513
